 

stn;time;uto200s0;tre200s0;rre150z0;rco150z0;sre000z0
BAS;202304111420;5.8;12.9;0.0;0;0
BAS;202304111430;5.8;12.7;0.0;0;0
BAS;202304111440;5.7;13.1;0.0;0;0
BAS;202304111450;5.3;13.0;0.0;0;0
BAS;202304111500;5.3;12.9;0.0;0;0
BAS;202304111510;5.4;12.9;0.0;0;0
BAS;202304111520;5.4;13.0;0.0;0;0
BAS;202304111530;5.7;13.1;0.0;0;0
BAS;202304111540;5.2;12.8;0.0;0;0
BAS;202304111550;5.7;13.0;0.0;0;0
BAS;202304111600;5.5;12.9;0.0;0;0
BAS;202304111610;5.2;12.9;0.0;0;0
BAS;202304111620;5.6;12.9;0.0;0;0
BAS;202304111630;5.5;12.7;0.0;0;0
BAS;202304111640;5.8;12.8;0.0;0;0
BAS;202304111650;5.7;12.4;0.0;0;0
BAS;202304111700;5.4;12.6;0.0;0;0
BAS;202304111710;5.7;12.3;0.0;0;0
BAS;202304111720;5.5;12.5;0.0;0;0
BAS;202304111730;5.5;12.4;0.0;0;0
BAS;202304111740;5.6;12.2;0.0;0;0
BAS;202304111750;5.5;12.1;0.0;0;0
BAS;202304111800;5.5;12.3;0.0;0;0
BAS;202304111810;5.5;11.9;0.0;0;0
BAS;202304111820;6.1;11.1;0.0;0;0
BAS;202304111830;6.2;11.1;0.0;0;0
BAS;202304111840;6.7;10.5;0.0;0;0
BAS;202304111850;6.3;11.1;0.0;0;0
BAS;202304111900;5.9;11.5;0.0;0;0
BAS;202304111910;6.9;10.1;0.0;0;0
BAS;202304111920;6.3;11.0;0.0;1;0
BAS;202304111930;6.1;11.2;0.0;1;0
BAS;202304111940;6.3;10.8;0.0;5;0
